"X";"ProveDato";"FylkeNr";"Positive";"NegativeAlle";"PositiveIkkeUtlandet"
"2020-02-26";2020-02-26;11;0;0;0
"2020-02-27";2020-02-27;11;0;0;0
"2020-02-28";2020-02-28;11;0;0;0
"2020-02-29";2020-02-29;11;2;0;0
"2020-03-01";2020-03-01;11;0;0;0
"2020-03-02";2020-03-02;11;2;0;0
"2020-03-03";2020-03-03;11;2;0;0
"2020-03-04";2020-03-04;11;3;0;0
"2020-03-05";2020-03-05;11;4;0;1
"2020-03-06";2020-03-06;11;3;0;0
"2020-03-07";2020-03-07;11;4;0;0
"2020-03-08";2020-03-08;11;11;0;1
"2020-03-09";2020-03-09;11;40;0;8
"2020-03-10";2020-03-10;11;34;0;5
"2020-03-11";2020-03-11;11;28;0;8
"2020-03-12";2020-03-12;11;19;0;10
"2020-03-13";2020-03-13;11;11;0;19
"2020-03-14";2020-03-14;11;2;0;27
"2020-03-15";2020-03-15;11;6;0;33
"2020-03-16";2020-03-16;11;15;0;40
"2020-03-17";2020-03-17;11;16;0;44
"2020-03-18";2020-03-18;11;17;0;60
"2020-03-19";2020-03-19;11;23;0;59
"2020-03-20";2020-03-20;11;24;0;68
"2020-03-21";2020-03-21;11;7;0;56
"2020-03-22";2020-03-22;11;3;0;59
"2020-03-23";2020-03-23;11;18;0;51
"2020-03-24";2020-03-24;11;14;0;59
"2020-03-25";2020-03-25;11;7;0;36
"2020-03-26";2020-03-26;11;10;0;41
"2020-03-27";2020-03-27;11;8;0;40
"2020-03-28";2020-03-28;11;11;0;59
"2020-03-29";2020-03-29;11;4;0;60
"2020-03-30";2020-03-30;11;9;0;58
"2020-03-31";2020-03-31;11;3;216;62
"2020-04-01";2020-04-01;11;6;254;58
"2020-04-02";2020-04-02;11;7;182;52
"2020-04-03";2020-04-03;11;2;173;62
"2020-04-04";2020-04-04;11;2;67;57
"2020-04-05";2020-04-05;11;1;39;58
"2020-04-06";2020-04-06;11;2;146;70
"2020-04-07";2020-04-07;11;4;118;73
"2020-04-08";2020-04-08;11;1;99;60
"2020-04-09";2020-04-09;11;0;63;65
"2020-04-10";2020-04-10;11;1;73;82
"2020-04-11";2020-04-11;11;0;65;76
"2020-04-12";2020-04-12;11;1;60;71
"2020-04-13";2020-04-13;11;1;68;68
"2020-04-14";2020-04-14;11;1;126;71
"2020-04-15";2020-04-15;11;1;154;72
"2020-04-16";2020-04-16;11;2;135;68
"2020-04-17";2020-04-17;11;1;146;71
"2020-04-18";2020-04-18;11;0;54;76
"2020-04-19";2020-04-19;11;0;85;61
"2020-04-20";2020-04-20;11;3;238;74
"2020-04-21";2020-04-21;11;2;237;65
"2020-04-22";2020-04-22;11;0;198;63
"2020-04-23";2020-04-23;11;22;140;65
"2020-04-24";2020-04-24;11;0;183;64
"2020-04-25";2020-04-25;11;0;77;64
"2020-04-26";2020-04-26;11;0;52;55
"2020-04-27";2020-04-27;11;8;275;58
"2020-04-28";2020-04-28;11;0;269;60
"2020-04-29";2020-04-29;11;4;223;49
"2020-04-30";2020-04-30;11;0;310;54
"2020-05-01";2020-05-01;11;0;112;57
"2020-05-02";2020-05-02;11;0;71;43
"2020-05-03";2020-05-03;11;0;48;40
"2020-05-04";2020-05-04;11;1;193;44
"2020-05-05";2020-05-05;11;0;321;32
"2020-05-06";2020-05-06;11;1;322;37
"2020-05-07";2020-05-07;11;0;287;35
"2020-05-08";2020-05-08;11;0;276;35
"2020-05-09";2020-05-09;11;0;89;41
"2020-05-10";2020-05-10;11;0;62;37
"2020-05-11";2020-05-11;11;0;287;34
"2020-05-12";2020-05-12;11;1;411;37
"2020-05-13";2020-05-13;11;0;287;33
"2020-05-14";2020-05-14;11;0;342;26
"2020-05-15";2020-05-15;11;0;298;27
"2020-05-16";2020-05-16;11;0;86;28
"2020-05-17";2020-05-17;11;0;32;22
"2020-05-18";2020-05-18;11;0;259;27
"2020-05-19";2020-05-19;11;0;302;22
"2020-05-20";2020-05-20;11;0;149;34
"2020-05-21";2020-05-21;11;0;52;19
"2020-05-22";2020-05-22;11;0;243;27
"2020-05-23";2020-05-23;11;0;91;26
"2020-05-24";2020-05-24;11;0;51;21
"2020-05-25";2020-05-25;11;0;236;15
"2020-05-26";2020-05-26;11;0;311;16
"2020-05-27";2020-05-27;11;0;243;19
"2020-05-28";2020-05-28;11;1;205;11
"2020-05-29";2020-05-29;11;0;198;14
"2020-05-30";2020-05-30;11;0;47;12
"2020-05-31";2020-05-31;11;0;31;20
"2020-06-01";2020-06-01;11;0;50;11
"2020-06-02";2020-06-02;11;1;264;12
"2020-06-03";2020-06-03;11;1;305;19
"2020-06-04";2020-06-04;11;0;271;9
"2020-06-05";2020-06-05;11;1;262;10
"2020-06-06";2020-06-06;11;0;80;16
"2020-06-07";2020-06-07;11;0;28;5
"2020-06-08";2020-06-08;11;1;173;9
"2020-06-09";2020-06-09;11;0;499;11
"2020-06-10";2020-06-10;11;0;404;14
"2020-06-11";2020-06-11;11;0;581;10
"2020-06-12";2020-06-12;11;0;482;11
"2020-06-13";2020-06-13;11;0;155;10
"2020-06-14";2020-06-14;11;0;79;9
"2020-06-15";2020-06-15;11;0;678;7
"2020-06-16";2020-06-16;11;0;670;11
"2020-06-17";2020-06-17;11;1;673;6
"2020-06-18";2020-06-18;11;0;532;7
"2020-06-19";2020-06-19;11;0;538;7
"2020-06-20";2020-06-20;11;0;145;6
"2020-06-21";2020-06-21;11;0;108;7
"2020-06-22";2020-06-22;11;0;487;5
"2020-06-23";2020-06-23;11;0;490;6
"2020-06-24";2020-06-24;11;0;392;4
"2020-06-25";2020-06-25;11;1;364;8
"2020-06-26";2020-06-26;11;0;290;7
"2020-06-27";2020-06-27;11;0;61;6
"2020-06-28";2020-06-28;11;0;56;3
"2020-06-29";2020-06-29;11;0;504;5
"2020-06-30";2020-06-30;11;1;420;7
"2020-07-01";2020-07-01;11;0;336;2
"2020-07-02";2020-07-02;11;0;324;5
"2020-07-03";2020-07-03;11;0;289;6
"2020-07-04";2020-07-04;11;0;77;8
"2020-07-05";2020-07-05;11;0;41;1
"2020-07-06";2020-07-06;11;0;445;2
"2020-07-07";2020-07-07;11;0;356;7
"2020-07-08";2020-07-08;11;0;299;8
"2020-07-09";2020-07-09;11;1;297;2
"2020-07-10";2020-07-10;11;0;282;2
"2020-07-11";2020-07-11;11;0;103;2
"2020-07-12";2020-07-12;11;3;54;6
"2020-07-13";2020-07-13;11;2;435;3
"2020-07-14";2020-07-14;11;0;503;2
"2020-07-15";2020-07-15;11;0;515;2
"2020-07-16";2020-07-16;11;0;383;4
"2020-07-17";2020-07-17;11;1;303;1
"2020-07-18";2020-07-18;11;0;106;2
"2020-07-19";2020-07-19;11;0;47;1
"2020-07-20";2020-07-20;11;1;491;2
"2020-07-21";2020-07-21;11;1;332;3
"2020-07-22";2020-07-22;11;0;353;1
"2020-07-23";2020-07-23;11;1;345;3
"2020-07-24";2020-07-24;11;2;347;2
"2020-07-25";2020-07-25;11;1;114;0
"2020-07-26";2020-07-26;11;0;90;1
"2020-07-27";2020-07-27;11;3;541;1
"2020-07-28";2020-07-28;11;2;458;1
"2020-07-29";2020-07-29;11;3;419;3
"2020-07-30";2020-07-30;11;1;418;2
"2020-07-31";2020-07-31;11;5;422;0
"2020-08-01";2020-08-01;11;1;182;1
"2020-08-02";2020-08-02;11;0;87;1
"2020-08-03";2020-08-03;11;4;772;5
"2020-08-04";2020-08-04;11;0;632;4
"2020-08-05";2020-08-05;11;3;630;3
"2020-08-06";2020-08-06;11;6;625;4
"2020-08-07";2020-08-07;11;1;583;6
"2020-08-08";2020-08-08;11;1;284;5
"2020-08-09";2020-08-09;11;2;154;5
"2020-08-10";2020-08-10;11;5;1040;4
"2020-08-11";2020-08-11;11;4;1059;11
"2020-08-12";2020-08-12;11;5;1165;5
"2020-08-13";2020-08-13;11;0;1078;8
"2020-08-14";2020-08-14;11;2;903;8
"2020-08-15";2020-08-15;11;1;403;6
"2020-08-16";2020-08-16;11;2;419;8
"2020-08-17";2020-08-17;11;3;1320;12
"2020-08-18";2020-08-18;11;2;1325;11
"2020-08-19";2020-08-19;11;0;1267;11
"2020-08-20";2020-08-20;11;2;1195;9
"2020-08-21";2020-08-21;11;3;995;12
"2020-08-22";2020-08-22;11;3;561;10
"2020-08-23";2020-08-23;11;1;666;9
"2020-08-24";2020-08-24;11;0;1560;3
"2020-08-25";2020-08-25;11;1;1480;6
"2020-08-26";2020-08-26;11;2;1394;7
"2020-08-27";2020-08-27;11;2;1346;4
"2020-08-28";2020-08-28;11;2;1171;7
"2020-08-29";2020-08-29;11;0;610;6
"2020-08-30";2020-08-30;11;4;600;11
"2020-08-31";2020-08-31;11;6;1681;8
"2020-09-01";2020-09-01;11;4;1543;4
"2020-09-02";2020-09-02;11;4;1533;6
"2020-09-03";2020-09-03;11;5;1300;5
"2020-09-04";2020-09-04;11;2;1163;7
"2020-09-05";2020-09-05;11;4;503;2
"2020-09-06";2020-09-06;11;3;643;7
"2020-09-07";2020-09-07;11;6;1462;2
"2020-09-08";2020-09-08;11;4;1730;3
"2020-09-09";2020-09-09;11;3;1363;2
"2020-09-10";2020-09-10;11;1;1270;3
"2020-09-11";2020-09-11;11;2;1160;3
"2020-09-12";2020-09-12;11;1;683;3
"2020-09-13";2020-09-13;11;8;669;1
"2020-09-14";2020-09-14;11;6;1677;2
"2020-09-15";2020-09-15;11;5;1608;2
"2020-09-16";2020-09-16;11;2;1498;4
"2020-09-17";2020-09-17;11;3;1466;1
"2020-09-18";2020-09-18;11;3;1166;2
"2020-09-19";2020-09-19;11;8;443;3
"2020-09-20";2020-09-20;11;16;500;1
"2020-09-21";2020-09-21;11;37;1475;4
"2020-09-22";2020-09-22;11;4;1612;0
"2020-09-23";2020-09-23;11;12;1443;1
"2020-09-24";2020-09-24;11;11;1369;1
"2020-09-25";2020-09-25;11;3;1226;1
"2020-09-26";2020-09-26;11;2;696;1
"2020-09-27";2020-09-27;11;1;665;4
"2020-09-28";2020-09-28;11;7;1580;1
"2020-09-29";2020-09-29;11;8;1693;2
"2020-09-30";2020-09-30;11;6;1292;1
"2020-10-01";2020-10-01;11;3;1236;0
"2020-02-261";2020-02-26;15;0;0;0
"2020-02-271";2020-02-27;15;0;0;0
"2020-02-281";2020-02-28;15;0;0;0
"2020-02-291";2020-02-29;15;0;0;0
"2020-03-011";2020-03-01;15;0;0;0
"2020-03-021";2020-03-02;15;0;0;0
"2020-03-031";2020-03-03;15;0;0;0
"2020-03-041";2020-03-04;15;2;0;0
"2020-03-051";2020-03-05;15;0;0;0
"2020-03-061";2020-03-06;15;0;0;0
"2020-03-071";2020-03-07;15;0;0;0
"2020-03-081";2020-03-08;15;0;0;0
"2020-03-091";2020-03-09;15;4;0;0
"2020-03-101";2020-03-10;15;1;0;0
"2020-03-111";2020-03-11;15;3;0;1
"2020-03-121";2020-03-12;15;8;0;5
"2020-03-131";2020-03-13;15;3;0;1
"2020-03-141";2020-03-14;15;1;0;3
"2020-03-151";2020-03-15;15;1;0;4
"2020-03-161";2020-03-16;15;9;0;3
"2020-03-171";2020-03-17;15;3;0;11
"2020-03-181";2020-03-18;15;5;0;16
"2020-03-191";2020-03-19;15;10;0;15
"2020-03-201";2020-03-20;15;7;0;17
"2020-03-211";2020-03-21;15;6;0;17
"2020-03-221";2020-03-22;15;2;0;10
"2020-03-231";2020-03-23;15;7;0;19
"2020-03-241";2020-03-24;15;6;0;8
"2020-03-251";2020-03-25;15;7;0;16
"2020-03-261";2020-03-26;15;10;0;13
"2020-03-271";2020-03-27;15;4;0;13
"2020-03-281";2020-03-28;15;2;0;20
"2020-03-291";2020-03-29;15;5;0;25
"2020-03-301";2020-03-30;15;5;0;10
"2020-03-311";2020-03-31;15;2;215;15
"2020-04-011";2020-04-01;15;1;227;14
"2020-04-021";2020-04-02;15;2;163;17
"2020-04-031";2020-04-03;15;3;161;15
"2020-04-041";2020-04-04;15;0;30;18
"2020-04-051";2020-04-05;15;0;15;15
"2020-04-061";2020-04-06;15;1;206;14
"2020-04-071";2020-04-07;15;1;144;15
"2020-04-081";2020-04-08;15;0;83;17
"2020-04-091";2020-04-09;15;0;43;19
"2020-04-101";2020-04-10;15;1;65;19
"2020-04-111";2020-04-11;15;1;66;21
"2020-04-121";2020-04-12;15;0;55;24
"2020-04-131";2020-04-13;15;0;64;16
"2020-04-141";2020-04-14;15;0;168;28
"2020-04-151";2020-04-15;15;1;149;11
"2020-04-161";2020-04-16;15;0;114;30
"2020-04-171";2020-04-17;15;1;133;28
"2020-04-181";2020-04-18;15;0;42;17
"2020-04-191";2020-04-19;15;0;37;20
"2020-04-201";2020-04-20;15;2;207;22
"2020-04-211";2020-04-21;15;0;201;19
"2020-04-221";2020-04-22;15;0;121;18
"2020-04-231";2020-04-23;15;0;155;27
"2020-04-241";2020-04-24;15;0;126;36
"2020-04-251";2020-04-25;15;1;44;31
"2020-04-261";2020-04-26;15;1;25;22
"2020-04-271";2020-04-27;15;1;199;24
"2020-04-281";2020-04-28;15;0;172;20
"2020-04-291";2020-04-29;15;0;155;16
"2020-04-301";2020-04-30;15;1;235;11
"2020-05-011";2020-05-01;15;0;59;19
"2020-05-021";2020-05-02;15;0;37;16
"2020-05-031";2020-05-03;15;0;37;22
"2020-05-041";2020-05-04;15;0;278;12
"2020-05-051";2020-05-05;15;1;211;10
"2020-05-061";2020-05-06;15;0;198;18
"2020-05-071";2020-05-07;15;0;196;18
"2020-05-081";2020-05-08;15;0;194;10
"2020-05-091";2020-05-09;15;1;27;12
"2020-05-101";2020-05-10;15;3;16;8
"2020-05-111";2020-05-11;15;0;244;13
"2020-05-121";2020-05-12;15;1;265;11
"2020-05-131";2020-05-13;15;0;261;7
"2020-05-141";2020-05-14;15;0;245;21
"2020-05-151";2020-05-15;15;1;268;10
"2020-05-161";2020-05-16;15;0;30;7
"2020-05-171";2020-05-17;15;0;29;15
"2020-05-181";2020-05-18;15;0;308;10
"2020-05-191";2020-05-19;15;0;213;7
"2020-05-201";2020-05-20;15;0;224;10
"2020-05-211";2020-05-21;15;0;37;9
"2020-05-221";2020-05-22;15;0;173;3
"2020-05-231";2020-05-23;15;0;31;3
"2020-05-241";2020-05-24;15;0;34;11
"2020-05-251";2020-05-25;15;0;217;9
"2020-05-261";2020-05-26;15;2;165;9
"2020-05-271";2020-05-27;15;0;153;4
"2020-05-281";2020-05-28;15;4;140;5
"2020-05-291";2020-05-29;15;6;125;5
"2020-05-301";2020-05-30;15;0;22;9
"2020-05-311";2020-05-31;15;0;33;7
"2020-06-011";2020-06-01;15;0;33;7
"2020-06-021";2020-06-02;15;0;256;2
"2020-06-031";2020-06-03;15;0;182;6
"2020-06-041";2020-06-04;15;0;142;5
"2020-06-051";2020-06-05;15;0;153;7
"2020-06-061";2020-06-06;15;0;28;3
"2020-06-071";2020-06-07;15;0;31;5
"2020-06-081";2020-06-08;15;1;243;6
"2020-06-091";2020-06-09;15;0;159;4
"2020-06-101";2020-06-10;15;0;263;4
"2020-06-111";2020-06-11;15;1;231;4
"2020-06-121";2020-06-12;15;0;220;9
"2020-06-131";2020-06-13;15;1;23;8
"2020-06-141";2020-06-14;15;0;35;2
"2020-06-151";2020-06-15;15;0;327;5
"2020-06-161";2020-06-16;15;0;239;3
"2020-06-171";2020-06-17;15;0;229;5
"2020-06-181";2020-06-18;15;0;161;4
"2020-06-191";2020-06-19;15;0;142;3
"2020-06-201";2020-06-20;15;0;20;4
"2020-06-211";2020-06-21;15;0;21;2
"2020-06-221";2020-06-22;15;0;202;4
"2020-06-231";2020-06-23;15;2;185;1
"2020-06-241";2020-06-24;15;0;197;2
"2020-06-251";2020-06-25;15;1;159;1
"2020-06-261";2020-06-26;15;3;152;1
"2020-06-271";2020-06-27;15;0;22;2
"2020-06-281";2020-06-28;15;0;17;0
"2020-06-291";2020-06-29;15;0;240;1
"2020-06-301";2020-06-30;15;0;199;2
"2020-07-011";2020-07-01;15;0;235;0
"2020-07-021";2020-07-02;15;0;203;3
"2020-07-031";2020-07-03;15;0;256;1
"2020-07-041";2020-07-04;15;0;54;0
"2020-07-051";2020-07-05;15;0;29;0
"2020-07-061";2020-07-06;15;0;292;0
"2020-07-071";2020-07-07;15;0;241;0
"2020-07-081";2020-07-08;15;0;248;3
"2020-07-091";2020-07-09;15;0;225;0
"2020-07-101";2020-07-10;15;0;209;2
"2020-07-111";2020-07-11;15;0;31;1
"2020-07-121";2020-07-12;15;0;28;0
"2020-07-131";2020-07-13;15;0;309;1
"2020-07-141";2020-07-14;15;0;254;0
"2020-07-151";2020-07-15;15;0;264;0
"2020-07-161";2020-07-16;15;0;186;1
"2020-07-171";2020-07-17;15;0;210;1
"2020-07-181";2020-07-18;15;0;26;0
"2020-07-191";2020-07-19;15;0;27;0
"2020-07-201";2020-07-20;15;0;330;1
"2020-07-211";2020-07-21;15;0;243;0
"2020-07-221";2020-07-22;15;0;281;1
"2020-07-231";2020-07-23;15;0;232;0
"2020-07-241";2020-07-24;15;0;246;1
"2020-07-251";2020-07-25;15;0;44;0
"2020-07-261";2020-07-26;15;0;28;0
"2020-07-271";2020-07-27;15;0;339;1
"2020-07-281";2020-07-28;15;0;281;2
"2020-07-291";2020-07-29;15;0;283;0
"2020-07-301";2020-07-30;15;0;269;0
"2020-07-311";2020-07-31;15;0;159;0
"2020-08-011";2020-08-01;15;1;68;0
"2020-08-021";2020-08-02;15;0;45;0
"2020-08-031";2020-08-03;15;0;544;0
"2020-08-041";2020-08-04;15;0;493;0
"2020-08-051";2020-08-05;15;2;464;0
"2020-08-061";2020-08-06;15;2;382;1
"2020-08-071";2020-08-07;15;1;460;0
"2020-08-081";2020-08-08;15;0;47;0
"2020-08-091";2020-08-09;15;0;41;0
"2020-08-101";2020-08-10;15;2;675;1
"2020-08-111";2020-08-11;15;1;671;1
"2020-08-121";2020-08-12;15;1;637;0
"2020-08-131";2020-08-13;15;2;517;1
"2020-08-141";2020-08-14;15;0;774;2
"2020-08-151";2020-08-15;15;0;77;0
"2020-08-161";2020-08-16;15;0;65;2
"2020-08-171";2020-08-17;15;1;1093;3
"2020-08-181";2020-08-18;15;2;760;6
"2020-08-191";2020-08-19;15;0;755;0
"2020-08-201";2020-08-20;15;1;520;2
"2020-08-211";2020-08-21;15;1;826;0
"2020-08-221";2020-08-22;15;1;81;1
"2020-08-231";2020-08-23;15;0;78;0
"2020-08-241";2020-08-24;15;3;1271;4
"2020-08-251";2020-08-25;15;0;1076;5
"2020-08-261";2020-08-26;15;1;869;2
